INDICATOR_SEQ,PARENT_SEQ,AGENCY_NAME,INDICATOR_NAME,DESCRIPTION,CATEGORY,FREQUENCY,DESIRED_CHANGE,INDICATOR_UNIT,DECIMAL_PLACES,PERIOD_YEAR,PERIOD_MONTH,YTD_TARGET,YTD_ACTUAL,MONTHLY_TARGET,MONTHLY_ACTUAL
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,11,2.7,2.02,2.7,1.59
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2008,12,2.7,2.05,2.7,2.4
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,1,1.95,2.33,1.95,2.33
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,2,1.95,2.86,1.95,3.37
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,3,1.95,2.75,1.95,2.58
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,4,1.95,2.7,1.95,2.55
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,5,1.95,2.46,1.95,1.64
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,6,1.95,2.39,1.95,1.98
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,7,1.95,2.34,1.95,2.1
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,8,1.95,2.5,1.95,3.72
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,9,1.95,2.49,1.95,2.43
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,10,1.95,2.41,1.95,1.76
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,11,1.95,2.32,1.95,1.3
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2009,12,1.95,2.3,1.95,2.08
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,1,1.95,3.88,1.95,3.88
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,2,1.95,2.94,1.95,2.28
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,3,1.95,2.64,1.95,2.02
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,4,1.95,2.6,1.95,2.47
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,5,1.95,2.47,1.95,2.02
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,6,1.95,2.44,1.95,2.3
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,7,1.95,2.52,1.95,2.94
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,8,1.95,2.79,1.95,4.98
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,9,1.95,2.8,1.95,2.82
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,10,1.95,2.77,1.95,2.55
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,11,1.95,2.76,1.95,2.67
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2010,12,1.95,2.77,1.95,2.9
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,1,2.25,4.65,2.25,4.65
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,2,2.25,3.61,2.25,2.5
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,3,2.25,3.36,2.25,2.93
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,4,2.25,3.39,2.25,3.48
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,5,2.25,3.04,2.25,1.66
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,6,2.25,2.98,2.25,2.71
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,7,2.25,2.9,2.25,2.38
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,8,2.25,2.88,2.25,2.8
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,9,2.25,2.92,2.25,3.19
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,10,2.25,2.93,2.25,2.99
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,11,2.25,2.89,2.25,2.51
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2011,12,2.25,2.9,2.25,3.09
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,1,2.38,1.48,2.38,1.48
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,2,2.38,1.26,2.38,1.02
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,3,2.38,1.62,2.38,2.28
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,4,2.38,1.74,2.38,2.11
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,5,2.38,2.09,2.38,3.41
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,6,2.38,2.33,2.38,3.5
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,7,2.38,2.48,2.38,3.37
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,8,2.38,2.52,2.38,2.85
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,9,2.38,2.61,2.38,3.32
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,10,2.38,2.6,2.38,2.56
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,11,2.38,2.57,2.38,2.23
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2012,12,2.38,2.61,2.38,3.06
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,1,2.47,2.16,2.47,2.16
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,2,2.47,2.26,2.47,2.37
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,3,2.47,2.48,2.47,2.9
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,4,2.47,2.74,2.47,3.41
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,5,2.47,2.66,2.47,2.34
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,6,2.47,2.99,2.47,4.86
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,7,2.47,3.15,2.47,4.04
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,8,2.47,3.13,2.47,2.99
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,9,2.47,3.08,2.47,2.72
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,10,2.47,3.08,2.47,3.04
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,11,2.47,3.06,2.47,2.89
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2013,12,2.47,3.08,2.47,3.24
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,1,2.6,3.36,2.6,3.36
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,2,2.6,4.27,2.6,5.3
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,3,2.6,4.03,2.6,3.56
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,4,2.6,3.94,2.6,3.7
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,5,2.6,3.91,2.6,3.81
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,6,2.6,3.97,2.6,4.23
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,7,2.6,3.97,2.6,3.99
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,8,2.6,3.91,2.6,3.49
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,9,2.6,3.91,2.6,3.88
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,10,2.6,3.91,2.6,3.94
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,11,2.6,3.93,2.6,4.22
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2014,12,2.6,3.79,2.6,2.3
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,1,2.85,5.36,2.85,5.36
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,2,2.85,5.2,2.85,4.6
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,3,2.85,4.34,2.85,2.7
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,4,2.85,4.3,2.85,3.7
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,5,2.85,3.9,2.85,2.6
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,6,2.85,3.6,2.85,2.7
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,7,2.85,3.6,2.85,4.1
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,8,2.85,3.59,2.85,3.63
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,9,2.85,3.6,2.85,3.2
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,10,2.85,3.68,2.85,3.96
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,11,2.85,3.65,2.85,2.99
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2015,12,2.85,3.62,2.85,3.31
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2016,1,3.31,2.93,3.31,2.93
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2016,2,3.31,2.48,3.31,2.02
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2016,3,3.31,4.84,3.31,2.71
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2016,4,3.31,2.68,3.31,3.14
20419,0,Long Island Rail Road,Employee Lost Time and Restricted Duty Rate,"Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours. ",Safety Indicators,M,D,-,2,2016,5,3.31,2.87,3.31,3.45
